"Ticker","Company Name","12/31/2015","12/31/2014","12/31/2013","12/31/2012","12/31/2011","12/31/2010","12/31/2009"
"HAR","Harman Int'l Industries","0.037%","0.040%","0.034%","0.024%","0.023%","0.028%","0.025%"
"HAS","Hasbro Inc.","0.042%","0.034%","0.039%","0.032%","0.032%","0.051%","0.040%"
"HBAN","Huntington Bancshares","0.049%","0.047%","0.049%","0.042%","0.042%","0.052%","0.026%"
"HBI","Hanesbrands Inc","0.064%","-","-","-","-","-","-"
"HCA","HCA Inc.","0.119%","-","-","-","-","-","-"
"HCBK","Hudson City Bancorp","-","0.027%","0.027%","0.030%","0.029%","0.053%","0.073%"
"HCN","Welltower Inc","0.135%","0.137%","0.095%","0.126%","0.092%","0.061%","0.055%"
"HCP","HCP Inc.","0.100%","0.112%","0.101%","0.161%","0.149%","0.119%","0.091%"
"HD","Home Depot","0.938%","0.764%","0.707%","0.729%","0.569%","0.504%","0.497%"
"HES","Hess Corporation","0.065%","0.099%","0.143%","0.124%","0.149%","0.201%","0.178%"
"HIG","Hartford Financial Services","0.100%","0.099%","0.099%","0.077%","0.064%","0.103%","0.090%"
"HNZ","H. J. Heinz Company","-","-","-","0.146%","0.152%","0.139%","0.136%"
"HOG","Harley-Davidson","0.047%","0.077%","0.093%","0.087%","0.079%","0.071%","0.060%"
"HON","Honeywell Int'l Inc.","0.446%","0.432%","0.437%","0.391%","0.370%","0.364%","0.302%"
"HOT","Starwood Hotels & Res","0.065%","0.080%","0.093%","0.089%","0.082%","0.101%","0.069%"
"HP","Helmerich & Payne","0.032%","0.040%","0.055%","0.047%","0.055%","0.045%","-"
"HPE","Hewlett Packard Enterprise Co","0.148%","-","-","-","-","-","-"
"HPQ","Hewlett-Packard Co","0.119%","0.406%","0.326%","0.219%","0.449%","0.807%","1.229%"
"HRB","H&R Block, Inc.","0.044%","0.051%","0.049%","0.040%","0.042%","0.032%","0.077%"
"HRL","Hormel Foods Corp.","0.060%","0.039%","0.037%","0.033%","0.035%","0.031%","0.027%"
"HRS","Harris Corp.","0.060%","0.041%","0.045%","0.043%","0.036%","0.050%","0.062%"
"HSH","Hillshire Brands Co","-","-","-","-","0.098%","0.098%","0.086%"
"HSIC","Henry Schein Inc","0.073%","-","-","-","-","-","-"
"HSP","Hospira Inc.","-","0.058%","0.042%","0.041%","0.044%","0.081%","0.084%"
"HST","Host Hotels & Resorts","0.064%","0.099%","0.090%","0.089%","0.092%","0.106%","0.076%"
"HSY","The Hershey Company","0.072%","0.084%","0.089%","0.085%","0.085%","0.069%","0.060%"
"HUM","Humana Inc.","0.148%","0.119%","0.097%","0.086%","0.126%","0.081%","0.075%"
"IBM","IBM Corp.","0.687%","0.816%","1.168%","1.602%","1.904%","1.596%","1.736%"
"ICE","Intercontinental Exchange","0.171%","0.137%","0.158%","0.071%","0.077%","0.076%","0.083%"
"IFF","Intl Flavors & Fragrances","0.054%","0.045%","0.043%","0.043%","0.037%","0.039%","0.033%"
"IGT","International Game Tech.","-","-","0.028%","0.030%","0.045%","0.046%","0.056%"
"ILMN","Illumina Inc","0.157%","-","-","-","-","-","-"
"INTC","Intel Corp.","0.909%","0.952%","0.787%","0.803%","1.066%","1.014%","1.137%"
"INTU","Intuit Inc.","0.143%","0.145%","0.125%","0.130%","0.138%","0.135%","0.098%"
"IP","International Paper Co.","0.087%","0.124%","0.131%","0.138%","0.114%","0.104%","0.117%"
